Codebook Index Counts:
Index 685: 190
Index 686: 167
Index 687: 138
Index 688: 157
Index 689: 95
Index 690: 79
Index 691: 210
Index 692: 135
Index 693: 93
Index 694: 138
Index 695: 197
Index 696: 203
Index 697: 382
Index 698: 156
Index 699: 125
Index 700: 91
Index 701: 185
Index 702: 91
Index 703: 89
Index 704: 187
Index 705: 101
Index 706: 138
Index 707: 149
Index 708: 95
Index 709: 141
Index 710: 116
Index 711: 91
Index 712: 96
Index 713: 94
Index 714: 185
Index 715: 90
Index 716: 123
Index 717: 70
Index 718: 176
Index 719: 97
Index 720: 97
Index 721: 124
Index 722: 195
Index 723: 154
Index 724: 87
Index 725: 112
Index 726: 173
Index 727: 146
Index 728: 121
Index 729: 150
Index 730: 207
Index 731: 92
Index 732: 59
Index 733: 66
Index 734: 109
Index 735: 153
Index 736: 148
Index 737: 133
Index 738: 106
Index 739: 75
Index 740: 184
Index 741: 160
Index 742: 190
Index 743: 142
Index 744: 134
Index 745: 126
Index 746: 97
Index 747: 73
Index 748: 109
Index 749: 133
Index 750: 169
Index 751: 100
Index 752: 379
Index 753: 157
Index 754: 151
Index 755: 197
Index 756: 94
Index 757: 111
Index 758: 74
Index 759: 95
Index 760: 84
Index 761: 128
Index 762: 173
Index 763: 151
Index 764: 157
Index 765: 173
Index 766: 110
Index 767: 67
Index 768: 184
Index 769: 116
Index 770: 147
Index 771: 84
Index 772: 124
Index 773: 117
Index 774: 147
Index 775: 134
Index 776: 112
Index 777: 74
Index 778: 132
Index 779: 104
Index 780: 107
Index 781: 107
Index 782: 117
Index 783: 100
Index 784: 82
Index 785: 163
Index 786: 144
Index 787: 205
Index 788: 125
Index 789: 119
Index 790: 118
Index 791: 111
Index 792: 116
Index 793: 105
Index 794: 74
Index 795: 94
Index 796: 111
Index 797: 106
Index 798: 107
Index 799: 96
Index 800: 116
Index 801: 182
Index 802: 99
Index 803: 188
Index 804: 82
Index 805: 76
Index 806: 148
Index 807: 124
Index 808: 156
Index 809: 73
Index 810: 158
Index 811: 101
Index 812: 153
Index 813: 80
Index 814: 121
Index 815: 170
Index 816: 134
Index 817: 106
Index 818: 126
Index 819: 103
Index 820: 149
Index 821: 172
Index 822: 154
Index 823: 96
Index 824: 176
Index 825: 75
Index 826: 94
Index 827: 111
Index 828: 181
Index 829: 75
Index 830: 132
Index 831: 161
Index 832: 119
Index 833: 99
Index 834: 339
Index 835: 87
Index 836: 195
Index 837: 74
Index 838: 94
Index 839: 83
Index 840: 107
Index 841: 146
Index 842: 77
Index 843: 64
Index 844: 90
Index 845: 95
Index 846: 121
Index 847: 99
Index 848: 113
Index 849: 85
Index 850: 116
Index 851: 95
Index 852: 114
Index 853: 110
Index 854: 107
Index 855: 174
Index 856: 112
Index 857: 141
Index 858: 137
Index 859: 185
Index 860: 213
Index 861: 101
Index 862: 118
Index 863: 132
Index 864: 151
Index 865: 97
Index 866: 102
Index 867: 81
Index 868: 141
Index 869: 92
Index 870: 112
Index 871: 99
Index 872: 162
Index 873: 150
Index 874: 126
Index 875: 87
Index 876: 108
Index 877: 84
Index 878: 158
Index 879: 84
Index 880: 114
Index 881: 166
Index 882: 84
Index 883: 330
Index 884: 93
Index 885: 78
Index 886: 237
Index 887: 124
Index 888: 163
Index 889: 203
Index 890: 123
Index 891: 181
Index 892: 132
Index 893: 123
Index 894: 76
Index 895: 124
Index 896: 59
Index 897: 111
Index 898: 225
Index 899: 98
Index 900: 173
Index 901: 97
Index 902: 122
Index 903: 128
Index 904: 152
Index 905: 77
Index 906: 150
Index 907: 174
Index 908: 116
Index 909: 106
Index 910: 174
Index 911: 85
Index 912: 315
Index 913: 114
Index 914: 86
Index 915: 119
Index 916: 130
Index 917: 143
Index 918: 152
Index 919: 102
Index 920: 113
Index 921: 109
Index 922: 74
Index 923: 130
Index 924: 90
Index 925: 129
Index 926: 99
Index 927: 116
Index 928: 96
Index 929: 91
Index 930: 157
Index 931: 118
Index 932: 143
Index 933: 103
Index 934: 109
Index 935: 84
Index 936: 93
Index 937: 148
Index 938: 150
Index 939: 103
Index 940: 119
Index 941: 114
Index 942: 185
Index 943: 72
Index 944: 111
Index 945: 151
Index 946: 139
Index 947: 103
Index 948: 365
Index 949: 158
Index 950: 237
Index 951: 219
Index 952: 101
Index 953: 100
Index 954: 163
Index 955: 70
Index 956: 127
Index 957: 58
Index 958: 113
Index 959: 83
Index 960: 102
Index 961: 128
Index 962: 141
Index 963: 163
