Codebook Index Counts:
Index 726: 260
Index 727: 104
Index 728: 117
Index 729: 122
Index 730: 108
Index 731: 97
Index 732: 134
Index 733: 141
Index 734: 95
Index 735: 143
Index 736: 119
Index 737: 171
Index 738: 114
Index 739: 122
Index 740: 147
Index 741: 126
Index 742: 110
Index 743: 100
Index 744: 101
Index 745: 114
Index 746: 94
Index 747: 158
Index 748: 147
Index 749: 122
Index 750: 164
Index 751: 98
Index 752: 140
Index 753: 133
Index 754: 168
Index 755: 112
Index 756: 138
Index 757: 155
Index 758: 108
Index 759: 135
Index 760: 138
Index 761: 138
Index 762: 192
Index 763: 328
Index 764: 138
Index 765: 125
Index 766: 82
Index 767: 102
Index 768: 141
Index 769: 106
Index 770: 99
Index 771: 145
Index 772: 131
Index 773: 90
Index 774: 100
Index 775: 85
Index 776: 98
Index 777: 123
Index 778: 92
Index 779: 124
Index 780: 110
Index 781: 116
Index 782: 107
Index 783: 109
Index 784: 130
Index 785: 167
Index 786: 130
Index 787: 122
Index 788: 155
Index 789: 117
Index 790: 198
Index 791: 103
Index 792: 144
Index 793: 155
Index 794: 136
Index 795: 138
Index 796: 126
Index 797: 128
Index 798: 145
Index 799: 95
Index 800: 132
Index 801: 155
Index 802: 105
Index 803: 116
Index 804: 106
Index 805: 106
Index 806: 143
Index 807: 86
Index 808: 87
Index 809: 79
Index 810: 131
Index 811: 92
Index 812: 170
Index 813: 149
Index 814: 148
Index 815: 117
Index 816: 101
Index 817: 132
Index 818: 196
Index 819: 132
Index 820: 97
Index 821: 112
Index 822: 160
Index 823: 95
Index 824: 110
Index 825: 137
Index 826: 236
Index 827: 112
Index 828: 195
Index 829: 140
Index 830: 122
Index 831: 143
Index 832: 116
Index 833: 105
Index 834: 109
Index 835: 78
Index 836: 111
Index 837: 97
Index 838: 129
Index 839: 113
Index 840: 115
Index 841: 110
Index 842: 122
Index 843: 76
Index 844: 185
Index 845: 166
Index 846: 105
Index 847: 134
Index 848: 125
Index 849: 94
Index 850: 133
Index 851: 110
Index 852: 110
Index 853: 92
Index 854: 100
Index 855: 95
Index 856: 169
Index 857: 106
Index 858: 96
Index 859: 90
Index 860: 119
Index 861: 122
Index 862: 128
Index 863: 100
Index 864: 129
Index 865: 80
Index 866: 116
Index 867: 103
Index 868: 96
Index 869: 120
Index 870: 154
Index 871: 100
Index 872: 126
Index 873: 115
Index 874: 127
Index 875: 99
Index 876: 93
Index 877: 139
Index 878: 117
Index 879: 118
Index 880: 109
Index 881: 114
Index 882: 92
Index 883: 213
Index 884: 116
Index 885: 128
Index 886: 188
Index 887: 111
Index 888: 122
Index 889: 114
Index 890: 134
Index 891: 89
Index 892: 129
Index 893: 92
Index 894: 137
Index 895: 109
Index 896: 113
Index 897: 101
Index 898: 214
Index 899: 132
Index 900: 172
Index 901: 80
Index 902: 145
Index 903: 122
Index 904: 148
Index 905: 119
Index 906: 105
Index 907: 159
Index 908: 104
Index 909: 137
Index 910: 92
Index 911: 123
Index 912: 119
Index 913: 135
