Codebook Index Counts:
Index 646: 516
Index 647: 586
Index 648: 500
Index 649: 776
Index 650: 528
Index 651: 526
Index 652: 564
Index 653: 598
Index 654: 456
Index 655: 499
Index 656: 549
Index 657: 507
Index 658: 643
Index 659: 610
Index 660: 499
Index 661: 738
Index 662: 549
Index 663: 565
Index 664: 562
Index 665: 723
Index 666: 503
Index 667: 477
Index 668: 483
Index 669: 551
Index 670: 508
Index 671: 548
Index 672: 533
Index 673: 432
Index 674: 500
Index 675: 647
Index 676: 638
Index 677: 612
Index 678: 523
Index 679: 634
Index 680: 530
Index 681: 500
Index 682: 674
Index 683: 486
Index 684: 650
Index 685: 407
Index 686: 765
Index 687: 548
Index 688: 566
Index 689: 519
Index 690: 566
Index 691: 591
Index 692: 582
Index 693: 539
Index 694: 458
Index 695: 550
Index 696: 591
Index 697: 665
Index 698: 645
Index 699: 490
Index 700: 541
Index 701: 527
Index 702: 426
Index 703: 479
Index 704: 697
Index 705: 580
Index 706: 617
Index 707: 666
Index 708: 499
Index 709: 681
Index 710: 522
Index 711: 607
Index 712: 433
Index 713: 586
Index 714: 437
Index 715: 454
Index 716: 490
Index 717: 569
Index 718: 522
Index 719: 598
Index 720: 485
Index 721: 548
Index 722: 627
Index 723: 426
Index 724: 434
Index 725: 618
Index 726: 878
Index 727: 536
Index 728: 609
Index 729: 571
Index 730: 623
Index 731: 497
Index 732: 561
Index 733: 494
Index 734: 475
Index 735: 631
Index 736: 585
Index 737: 710
Index 738: 488
Index 739: 527
Index 740: 793
Index 741: 593
Index 742: 539
Index 743: 511
Index 744: 519
Index 745: 516
Index 746: 447
Index 747: 551
Index 748: 594
Index 749: 642
Index 750: 646
Index 751: 503
Index 752: 685
Index 753: 454
Index 754: 565
Index 755: 519
Index 756: 498
Index 757: 498
Index 758: 353
Index 759: 571
Index 760: 639
Index 761: 603
Index 762: 764
Index 763: 773
Index 764: 635
Index 765: 680
Index 766: 470
Index 767: 508
Index 768: 584
Index 769: 581
Index 770: 614
Index 771: 500
Index 772: 520
Index 773: 537
Index 774: 525
Index 775: 522
Index 776: 497
Index 777: 654
Index 778: 487
Index 779: 401
Index 780: 668
Index 781: 544
Index 782: 571
Index 783: 595
Index 784: 562
